,_unknown_,one,two,three,four,on,off,stop,go,backward,bed,bird,cat,dog,down,eight,five,forward,house,learn,left,marvin,nine,no,right,seven,sheila,six,tree,up,visual,wow,yes,zero,happy,follow
_unknown_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one,1,331,0,0,0,5,2,1,1,0,0,0,0,1,1,0,1,1,0,6,7,2,13,1,9,2,0,1,0,2,0,8,1,0,1,1
two,0,0,381,0,4,0,0,1,13,0,0,0,2,1,0,6,1,2,0,0,0,0,0,0,0,2,1,2,0,2,1,0,0,2,1,2
three,0,0,4,338,0,1,0,0,0,0,1,4,0,0,0,10,2,0,1,0,0,1,0,0,5,3,0,8,22,0,2,0,0,0,3,0
four,1,1,8,0,303,2,5,3,6,0,0,5,0,3,0,1,4,35,4,0,1,0,0,0,0,2,3,0,0,2,1,0,0,1,1,8
on,3,5,2,1,0,306,18,1,1,1,0,1,0,1,2,1,24,1,1,1,0,2,2,0,1,5,0,1,0,8,0,0,1,0,1,5
off,0,0,0,0,1,5,307,4,2,1,0,0,2,6,0,0,3,4,3,0,6,1,0,0,1,1,1,0,0,49,0,0,0,0,0,5
stop,1,0,1,0,0,1,2,349,3,0,0,0,2,5,2,0,1,0,1,0,0,0,0,0,0,12,0,2,0,25,0,0,0,3,1,0
go,3,0,4,0,1,0,1,1,262,0,11,2,0,8,8,0,0,1,1,1,4,1,0,64,1,9,1,0,0,5,0,0,1,7,0,5
backward,1,1,0,0,2,0,0,1,0,140,0,3,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,1,0,4,2,0,0,1,0,0
bed,2,0,0,0,1,0,0,0,1,3,146,1,2,0,1,4,0,0,0,0,16,0,1,4,4,9,0,7,0,3,1,0,1,0,0,0
bird,1,0,0,0,0,0,0,0,1,2,6,143,0,0,0,1,3,0,0,6,5,3,1,0,5,3,0,2,0,1,0,1,0,1,0,0
cat,2,0,2,0,1,0,0,2,0,0,2,0,158,0,0,1,2,0,1,0,0,0,0,0,0,7,0,7,0,3,0,0,3,0,3,0
dog,2,1,3,0,1,0,0,6,12,0,0,1,0,157,5,1,0,1,1,1,3,1,4,10,0,4,0,0,0,4,0,1,0,0,1,0
down,1,1,2,0,0,1,0,0,5,0,9,1,6,13,301,0,1,0,0,5,3,2,2,39,0,7,0,0,0,2,0,1,2,2,0,0
eight,1,0,13,1,0,1,0,0,0,0,3,0,0,0,0,349,0,0,0,0,3,0,0,3,5,6,0,17,0,1,0,0,0,1,4,0
five,1,3,1,0,0,2,5,2,0,1,0,3,0,1,0,2,396,0,1,0,0,1,4,0,5,4,1,2,1,7,0,0,0,0,1,1
forward,1,0,1,0,30,1,1,0,0,0,0,4,1,0,0,0,0,107,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
house,2,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,2,0,161,0,0,0,0,1,0,2,0,1,0,12,0,0,1,0,1,1
learn,1,9,0,0,1,0,0,0,2,1,1,4,0,1,7,0,0,3,0,93,10,4,6,3,1,3,1,0,0,2,1,0,3,3,0,1
left,1,1,1,0,0,0,0,0,0,3,4,0,2,0,0,2,0,0,0,2,373,0,0,0,1,2,0,0,0,4,1,0,14,1,0,0
marvin,0,1,0,1,0,1,1,0,0,0,1,3,0,2,0,0,1,0,0,5,0,161,5,1,5,0,0,2,0,3,0,0,0,1,1,0
nine,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,7,1,0,5,14,0,359,4,4,1,0,0,0,1,0,0,1,2,0,0
no,0,0,0,0,0,0,0,2,19,1,4,0,1,2,3,0,0,0,1,6,6,1,2,340,0,0,0,0,0,1,3,2,1,8,2,0
right,1,0,1,4,0,2,1,0,0,1,2,1,0,0,0,4,8,0,0,0,11,3,2,0,348,1,0,2,0,0,0,3,0,0,1,0
seven,1,0,1,0,0,0,0,1,1,1,5,3,3,0,1,1,2,0,0,3,0,1,1,0,0,369,0,6,0,4,0,0,0,1,0,1
sheila,1,0,3,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,192,0,1,2,0,0,0,4,1,0
six,1,0,2,1,0,0,0,0,0,0,4,0,0,0,0,17,1,0,0,0,2,0,0,0,2,3,1,359,0,0,0,0,1,0,0,0
tree,1,0,3,38,0,0,0,1,0,1,1,2,2,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,132,0,0,0,0,1,2,0
up,2,0,0,0,0,1,1,5,1,0,0,0,1,0,4,0,2,0,6,0,1,0,0,0,0,6,0,1,0,387,0,2,0,0,5,0
visual,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,1,140,0,0,13,2,0
wow,0,3,1,0,2,0,1,0,3,1,0,0,0,0,1,1,2,0,0,0,5,0,4,6,3,0,0,0,0,2,0,169,0,0,0,2
yes,0,0,3,0,1,0,0,0,0,0,3,2,3,0,3,0,0,0,0,2,8,0,0,6,0,1,0,0,0,0,0,0,379,8,0,0
zero,2,0,15,1,1,0,0,0,2,0,6,0,0,0,1,0,1,0,0,1,5,0,1,1,0,3,2,2,0,1,16,0,2,354,1,0
happy,1,0,1,0,0,0,0,0,0,0,1,0,3,0,1,3,1,0,2,0,0,1,0,0,0,6,0,3,0,2,0,0,0,0,178,0
follow,0,0,6,0,13,10,4,1,7,0,0,0,0,0,0,0,4,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,106
